date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:34:03	291543/291543	---MCZ	200	added ('OK')	text/html	etag:%22f731a4f9a14b6ffb7003423918e816a5-ssl-df%22	https://www.3blue1brown.com/blog/some1	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/blog/some1.html	(from )
01:34:04	6703/6703	---MCZ	404	error ('Not%20Found')	text/html	etag:1622151007-ssl-df	https://www.3blue1brown.com/robots.txt		(from )
01:34:04	100782/100782	---MCZ	200	added ('OK')	text/css	etag:W/%226386fb409d4a2abc96eee7be8f6d4cc4%22	https://use.fontawesome.com/releases/v6.1.1/css/all.css	D:/Coding/HTTrack%20Edits/blog1/use.fontawesome.com/releases/v6.1.1/css/all.css	(from https://www.3blue1brown.com/blog/some1)
01:34:05	58034/58034	---MCZ	404	error ('Not%20Found')	text/html	etag:1622151007-ssl-df	https://www.3blue1brown.com/blog/favicons/ios.png	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/blog/favicons/ios.2.delayed	(from https://www.3blue1brown.com/blog/some1)
01:34:05	68613/68613	---M--	200	added ('OK')	image/png	etag:%22bc25139f8e272a8b54150c29762a7d99-ssl%22	https://www.3blue1brown.com/favicons/favicon.png	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/favicons/favicon.png	(from https://www.3blue1brown.com/blog/some1)
01:34:05	30297/30297	---M-Z	200	added ('OK')	text/css	etag:%22fb6e72f045791d420d53caeb0c619bbe-ssl%22	https://www.3blue1brown.com/_next/static/css/622848ff4b30c1956a8b.css	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/_next/static/css/622848ff4b30c1956a8b.css	(from https://www.3blue1brown.com/blog/some1)
01:34:06	41907/41907	---M-Z	200	added ('OK')	text/css	etag:%22f45b70374187d4b0d81527b1ffbf9c13-ssl%22	https://www.3blue1brown.com/_next/static/css/7ee8b23109d2f6046d70.css	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/_next/static/css/7ee8b23109d2f6046d70.css	(from https://www.3blue1brown.com/blog/some1)
01:34:07	4760/4760	---MCZ	200	added ('OK')	text/css	etag:%2229aa3b3040c3c8e32e0b4dd43f8353e9-ssl-df%22	https://www.3blue1brown.com/_next/static/css/508b31cd4862a55207ca.css	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/_next/static/css/508b31cd4862a55207ca.css	(from https://www.3blue1brown.com/blog/some1)
01:34:07	4521/4521	---M-Z	200	added ('OK')	application/javascript	etag:%22cc800eaefe0399a031e44fba29e5b530-ssl%22	https://www.3blue1brown.com/_next/static/chunks/webpack-06b4e8735b591f9f2672.js	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/_next/static/chunks/webpack-06b4e8735b591f9f2672.js	(from https://www.3blue1brown.com/blog/some1)
01:34:07	131136/131136	---M-Z	200	added ('OK')	application/javascript	etag:%222ef20b7da7e982aa869162f6e4ba6c02-ssl%22	https://www.3blue1brown.com/_next/static/chunks/framework.bc6c2ec3e69fd2978ea6.js	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/_next/static/chunks/framework.bc6c2ec3e69fd2978ea6.js	(from https://www.3blue1brown.com/blog/some1)
01:34:08	42443/42443	---MCZ	200	added ('OK')	application/javascript	etag:%22a7ad54e8ba71a18e73eaf6fa5d18e418-ssl-df%22	https://www.3blue1brown.com/_next/static/chunks/commons.208ad5033da37dccf4c3.js	D:/Coding/HTTrack%20Edits/blog1/www.3blue1brown.com/_next/static/chunks/commons.208ad5033da37dccf4c3.js	(from https://www.3blue1brown.com/blog/some1)
